Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
331,Marine Parade,Macarthur Parade,4217,-27.9742049,153.4275366,M092478AU1-398-25657,5320
332,Marine Parade,Macarthur Parade,4217,-27.9742049,153.4275366,M092478AU1-400-25657,5467
333,Broadbeach,Alexandra and Mermaid Avenue,4218,-28.0475893,153.4082633,M092492AU1-398-25330,5258
334,Broadbeach,Alexandra and Mermaid Avenue,4218,-28.0475893,153.4082633,M092492AU1-399-25330,5629
335,Broadbeach,Alexandra and Mermaid Avenue,4218,-28.0475893,153.4082633,M092492AU1-400-25330,5629
336,Runaway Bay,17 Bayview Street,4216,-27.92392457,153.4039474,M092592AU1-399-26560,29535
337,Varsity Lakes Robina,University Drive,4227,-28.0768416,153.4105104,M092661AU1-400-25685,5237
338,Varsity Lakes,23 Main Street,4227,-28.0795438,153.4099136,M092752AU1-397-27323,5237
339,Nerang,Gilston Road and New Street,4211,-27.9466238,153.3256128,M092785AU1-399-25693,5467
340,Hope Island,Rialto Quay Drive,4212,-27.8537757,153.360322,M092812AU1-398-26786,29535
341,South Kingscliff,"Bells Boulevard, Salt Village",2487,-28.2768833,153.5773332,M092887AU1-397-27724,1049
342,South Kingscliff,"Bells Boulevard, Salt Village",2487,-28.2768833,153.5773332,M092887AU1-398-27724,1049
343,South Kingscliff,"Bells Boulevard, Salt Village",2487,-28.2768833,153.5773332,M092887AU1-400-27724,1049
344,South Kingscliff,"Bells Boulevard, Salt Village",2487,-28.2768833,153.5773332,M092888AU1-397-25696,1049
345,South Kingscliff,"Bells Boulevard, Salt Village",2487,-28.2768833,153.5773332,M092888AU1-398-25696,1049
346,South Kingscliff,"Bells Boulevard, Salt Village",2487,-28.2768833,153.5773332,M092888AU1-400-25696,1049
347,Varsity Lakes,10 Valbonne Avenue,4227,-28.0921171,153.4061158,M092889AU1-397-27734,5237
348,Varsity Lakes,10 Valbonne Avenue,4227,-28.0921171,153.4061158,M092889AU1-399-27734,5237
349,Surfers Paradise,70 Rememberance Drive,4217,-28.0056235,153.4279965,M092932AU1-397-5703,5258
350,Surfers Paradise,70 Rememberance Drive,4217,-28.0056235,153.4279965,M092932AU1-399-5703,5258
351,Surfers Paradise,70 Rememberance Drive,4217,-28.0056235,153.4279965,M092932AU1-400-5703,5258
352,Southport,Parklands Drive,4215,-27.9673072,153.4145154,M092941AU1-397-9859,29535
353,Southport,Parklands Drive,4215,-27.9673072,153.4145154,M092941AU1-398-9859,29535
354,Southport,Parklands Drive,4215,-27.9673072,153.4145154,M092941AU1-399-9859,29535
355,Varsity Lakes,Lot 9 Varsity Parade,4227,-28.0839143,153.4026871,M092951AU1-397-26445,5237
356,Varsity Lakes,Lot 9 Varsity Parade,4227,-28.0839143,153.4026871,M092951AU1-399-26445,5237
357,Mermaid Beach,116-118 Albatross Avenue,4218,-28.05244554,153.4396475,M092985AU1-399-254,5629
358,Varsity Lakes,235 Varsity Parade,4227,-28.0779275,153.4154154,M093012AU1-397-23727,5237
359,Varsity Lakes,235 Varsity Parade,4227,-28.0779275,153.4154154,M093012AU1-400-23727,5237
360,Kingscliff,Salt Village,2487,-28.2736228,153.5079997,M093057AU1-397-26724,1049
361,Varsity Lakes,240 Varsity Parade,4227,-28.0776871,153.4156535,M093064AU1-398-26783,5237
362,Varsity Lakes,240 Varsity Parade,4227,-28.0776871,153.4156535,M093064AU1-400-26783,5237
363,Tugan,468 - 470 Coolangatta Road,4224,-28.14656298,153.4967283,M093065AU1-397-26652,5629
364,Tugan,468 - 470 Coolangatta Road,4224,-28.14656298,153.4967283,M093065AU1-399-26652,1049
365,Tweed Heads,6-8 Stuart Street,2485,-28.1696161,153.5421658,M093067AU1-397-26590,5629
366,Tweed Heads,6-8 Stuart Street,2485,-28.1696161,153.5421658,M093067AU1-399-26590,5630
367,Robina,510 Christine Avenue,4226,-28.08469315,153.3924354,M093084AU1-398-26963,5237
368,Biggera Waters,Marine Parade,4216,-27.93222091,153.4060187,M093086AU1-397-26627,29535
369,Biggera Waters,Marine Parade,4216,-27.93222091,153.4060187,M093086AU1-400-26627,29535
370,Southport,50 Marine Parade,4215,-27.9672719,153.4165113,M093307AU1-397-25494,5320
371,Southport,50 Marine Parade,4215,-27.9672719,153.4165113,M093308AU1-398-25494,5320
372,Tweed Heads,10 McGregor Crescent,2485,-28.17440341,153.5434614,M093323AU1-397-27188,1049
373,Beaudesert,Brisbane & Short Streets,4285,-27.98092995,152.9946992,M093390AU1-398-1111170944,29535
374,Beaudesert,Brisbane & Short Streets,4285,-27.98092995,152.9946992,M093390AU1-400-27550,5467
375,Varsity Lakes,Lot 102 Lake Orr Drive,4227,-28.0756236,153.4206712,M093398AU1-397-26962,5237
376,Varsity Lakes,Lot 102 Lake Orr Drive,4227,-28.0756236,153.4206712,M093398AU1-399-26962,5237
